Company,Year,Value
Tesco PLC,2023,Unknown
Inditex,2023,21606
Esprit Holdings Limited,2023,2280.9
Marks and Spencer Group plc,2023,69000
Puma,2023,5595
Hermes International,2023,16340
Christian Dior,2023,125095
L Brands,2023,103450
Seven & I Holdings,2023,58014
Swatch Group,2023,9231
Foot Locker Inc.,2023,7470
Abercrombie & Fitch,2023,Unknown
Prada,2023,2275
Gildan Activewear Inc.,2023,67000
Asics Corporation,2023,2461
Moncler,2023,1809.6
Lojas Renner S.A.,2023,6034.36
DSW Inc.,2023,Unknown
Salvatore Ferragamo SpA,2023,711.13
Burlington Stores Inc,2023,133956
Buckle Inc,2023,Unknown
Ulta Beauty Inc.,2023,87257
Capri Holdings Ltd (formerly Michael Kors),2023,Unknown
TOD'S,2023,2770.80
Brunello Cucinelli,2023,547.58
Aditya Birla Fashion & Retail Ltd,2023,5555
Van de Velde,2023,Unknown
Onward Holdings,2023,Unknown
Bosideng International Holdings Limited,2023,9623.68
Canada Goose,2023,Unknown
Anta Sports Products,2023,11940.1
Adidas AG,2023,26382
Fast Retailing,2023,54522
H&M,2023,Unknown
Tesco PLC,2022,Unknown
Inditex,2022,20632.28
Gap inc.,2022,Unknown
Starbucks Corporation,2022,1236000
Esprit Holdings Limited,2022,Unknown
Marks and Spencer Group plc,2022,78474
Puma,2022,4527
Best Buy Co. Inc.,2022,56699
Target,2022,Unknown
L'Occitane,2022,2908
Hermes International,2022,14336
Christian Dior,2022,118332
Chow Tai Fook,2022,854
Dick's Sporting Goods,2022,60953
Richemont,2022,20015
Nordstrom,2022,Unknown
Seven & I Holdings,2022,60586
Ross Stores,2022,Unknown
Foot Locker Inc.,2022,5344
Abercrombie & Fitch,2022,Unknown
Prada,2022,2037
Macy's,2022,28047
Asics Corporation,2022,1674
"Dillard's, Inc.",2022,Unknown
Tiffany & Co.,2022,Unknown
American Eagle Outfitters,2022,29000
Lojas Renner S.A.,2022,Unknown
Otto Group,2022,113054
TJX Companies,2022,34700
lululemon athletica,2022,2079
New Look Retail Group,2022,288
CHS Inc.,2022,Unknown
Zalando SE,2022,32528
Salvatore Ferragamo SpA,2022,731.8
Geox SpA,2022,Unknown
Vipshop Holdings,2022,57673.2
Burlington Stores Inc,2022,106571.527
Chico's FAS Inc,2022,110444.48
Children's Place Inc,2022,45179
El Corte Ingles S.A.,2022,56086
Buckle Inc,2022,Unknown
WEYCO GROUP INC,2022,Unknown
DULUTH HOLDINGS INC.,2022,3806
Ulta Beauty Inc.,2022,73779
Mulberry Group Plc,2022,Unknown
Boohoo.com,2022,99
Aditya Birla Fashion & Retail Ltd,2022,3736
United Arrows,2022,Unknown
Onward Holdings,2022,0
Bosideng International Holdings Limited,2022,10872.9
Canada Goose,2022,Unknown
Anta Sports Products,2022,1255.4
Fast Retailing,2022,241873
Superdry plc,2022,Unknown
Hanesbrands,2022,Unknown
H&M,2022,Unknown
Hugo Boss AG,2022,8161
Tesco PLC,2021,84124
Inditex,2021,20397.42
Primark,2021,571000
Gap inc.,2021,20857
Starbucks Corporation,2021,1183000
Esprit Holdings Limited,2021,Unknown
Marks and Spencer Group plc,2021,59053
Lidl Stiftung & Co. KG,2021,Unknown
"Amazon.com, Inc.",2021,Unknown
L'Occitane,2021,3206
Aldi Nord,2021,381242
Hermes International,2021,12830
Christian Dior,2021,113584
Dick's Sporting Goods,2021,14107
Nordstrom,2021,Unknown
Woolworths Holdings Limited,2021,Unknown
Ross Stores,2021,Unknown
Prada,2021,2210
Macy's,2021,Unknown
Gildan Activewear Inc.,2021,67785
Asics Corporation,2021,1674
Tiffany & Co.,2021,Unknown
Moncler,2021,1081.5
Urban Outfitters,2021,377
American Eagle Outfitters,2021,Unknown
Lojas Renner S.A.,2021,Unknown
TJX Companies,2021,216684
Bel Group,2021,48692
SOK S Group,2021,107100
lululemon athletica,2021,5827
"Brooks Sports, Inc",2021,Unknown
New Look Retail Group,2021,Unknown
CHS Inc.,2021,Unknown
Zalando SE,2021,680000
Salvatore Ferragamo SpA,2021,812.9
Geox SpA,2021,1879.75
HP Inc,2021,21460
Burlington Stores Inc,2021,120300
Children's Place Inc,2021,53208
Buckle Inc,2021,Unknown
DULUTH HOLDINGS INC.,2021,3758.46
Ulta Beauty Inc.,2021,67823
Mulberry Group Plc,2021,Unknown
Capri Holdings Ltd (formerly Michael Kors),2021,Unknown
Steve Madden,2021,Unknown
TOD'S,2021,Unknown
Brunello Cucinelli,2021,625
Aditya Birla Fashion & Retail Ltd,2021,2240
Gerry Weber,2021,Unknown
Superdry plc,2021,Unknown
Hanesbrands,2021,32600
H&M,2021,Unknown
Hugo Boss AG,2021,61715.28
Tesco PLC,2020,40963
Inditex,2020,18478038
Gap inc.,2020,Unknown
Asda Stores Ltd.,2020,3.649
Starbucks Corporation,2020,1008000
Esprit Holdings Limited,2020,Unknown
Puma,2020,23498
L'Occitane,2020,3370
Hermes International,2020,Unknown
Nordstrom,2020,Unknown
Prada,2020,Unknown
Macy's,2020,Unknown
Asics Corporation,2020,1569
Tiffany & Co.,2020,Unknown
Moncler,2020,1136.3
Patterson Companies,2020,Unknown
"Lands' End, Inc.",2020,4693
Hewlett Packard Enterprise,2020,6549
Geox SpA,2020,1775.76
Vipshop Holdings,2020,Unknown
Ascena Retail Group Inc,2020,Unknown
Burlington Stores Inc,2020,Unknown
Ulta Beauty Inc.,2020,45085
Mulberry Group Plc,2020,Unknown
Hudson's Bay Company,2020,4637.96
Capri Holdings Ltd (formerly Michael Kors),2020,40275
Boohoo.com,2020,Unknown
Anta Sports Products,2020,2377
Adidas AG,2020,32951
H&M,2020,Unknown
Tesco PLC,2019,133492
Inditex,2019,23352
Gap inc.,2019,Unknown
Starbucks Corporation,2019,1163000
Esprit Holdings Limited,2019,Unknown
Marks and Spencer Group plc,2019,Unknown
Puma,2019,3154
L'Occitane,2019,3635
Hermes International,2019,13409
Christian Dior,2019,95620
Chow Tai Fook,2019,779
Dick's Sporting Goods,2019,61512
Richemont,2019,Unknown
L Brands,2019,Unknown
Nordstrom,2019,48801.298
Woolworths Holdings Limited,2019,Unknown
Swatch Group,2019,Unknown
Luxottica Group SpA,2019,104256
Ross Stores,2019,Unknown
Delhaize Group,2019,103900
Foot Locker Inc.,2019,Unknown
Abercrombie & Fitch,2019,Unknown
Prada,2019,Unknown
Macy's,2019,Unknown
Fenix Outdoor,2019,97667.837
Gildan Activewear Inc.,2019,80339.83
Asics Corporation,2019,2983
"Dillard's, Inc.",2019,Unknown
Tiffany & Co.,2019,Unknown
Moncler,2019,918.1
Urban Outfitters,2019,Unknown
American Eagle Outfitters,2019,Unknown
Lojas Renner S.A.,2019,2.984
TJX Companies,2019,Unknown
lululemon athletica,2019,Unknown
DSW Inc.,2019,Unknown
Genesco Inc.,2019,Unknown
Vygon (UK) Ltd.,2019,Unknown
Zalando SE,2019,22114
Salvatore Ferragamo SpA,2019,1386
YOOX NET-A-PORTER Group SpA,2019,Unknown
Geox SpA,2019,1876.26
Vipshop Holdings,2019,31080
Express Inc,2019,Unknown
Ascena Retail Group Inc,2019,Unknown
Burlington Stores Inc,2019,85316
Chico's FAS Inc,2019,Unknown
Children's Place Inc,2019,Unknown
Buckle Inc,2019,Unknown
Cato Corp,2019,Unknown
Boot Barn Holdings Inc.,2019,Unknown
Ulta Beauty Inc.,2019,Unknown
Mulberry Group Plc,2019,Unknown
Hudson's Bay Company,2019,9125.48
Capri Holdings Ltd (formerly Michael Kors),2019,Unknown
Semir,2019,Unknown
Boohoo.com,2019,Unknown
Steve Madden,2019,Unknown
TOD'S,2019,3117.2
Alpargatas - Havaianas,2019,Unknown
Brunello Cucinelli,2019,1006.4
Aditya Birla Fashion & Retail Ltd,2019,4148
United Arrows,2019,Unknown
Metersbonwe,2019,Unknown
Van de Velde,2019,445
Gerry Weber,2019,Unknown
Onward Holdings,2019,Unknown
Bosideng International Holdings Limited,2019,168.75
Canada Goose,2019,Unknown
Anta Sports Products,2019,2463.528
Adidas AG,2019,2247
Fast Retailing,2019,Unknown
Superdry plc,2019,Unknown
Francesca's,2019,Unknown
Hanesbrands,2019,50819.1268
JC Penney,2019,50819.126820096
H&M,2019,Unknown
Hugo Boss AG,2019,7097
Tesco PLC,2018,Unknown
Inditex,2018,21831.4
Gap inc.,2018,Unknown
Starbucks Corporation,2018,868000
Esprit Holdings Limited,2018,Unknown
Marks and Spencer Group plc,2018,81000
Puma,2018,4877
Hermes International,2018,12650
Dick's Sporting Goods,2018,51368
Richemont,2018,Unknown
Nordstrom,2018,Unknown
Woolworths Holdings Limited,2018,2607
Luxottica Group SpA,2018,50060
Abercrombie & Fitch,2018,Unknown
Prada,2018,Unknown
Macy's,2018,Unknown
Gildan Activewear Inc.,2018,82275.04
Asics Corporation,2018,3079
"Dillard's, Inc.",2018,Unknown
Tiffany & Co.,2018,Unknown
Moncler,2018,607
American Eagle Outfitters,2018,Unknown
Lojas Renner S.A.,2018,2328
TJX Companies,2018,Unknown
lululemon athletica,2018,Unknown
Zalando SE,2018,18914
Salvatore Ferragamo SpA,2018,950
YOOX NET-A-PORTER Group SpA,2018,4116
Geox SpA,2018,1908.5
Vipshop Holdings,2018,21845
Ascena Retail Group Inc,2018,Unknown
Burlington Stores Inc,2018,88539.19
Hudson's Bay Company,2018,28903.8
TOD'S,2018,1770.4
Alpargatas - Havaianas,2018,Unknown
Brunello Cucinelli,2018,856.81
Aditya Birla Fashion & Retail Ltd,2018,4233
Bosideng International Holdings Limited,2018,169.513
Anta Sports Products,2018,2313.7728
Adidas AG,2018,72.38
Superdry plc,2018,Unknown
Hanesbrands,2018,56358.59
JC Penney,2018,Unknown
H&M,2018,Unknown
Hugo Boss AG,2018,6231
Tesco PLC,2017,Unknown
Gap inc.,2017,Unknown
Starbucks Corporation,2017,Unknown
Marks and Spencer Group plc,2017,4.06
Puma,2017,5293
Dick's Sporting Goods,2017,61383
Woolworths Holdings Limited,2017,Unknown
Prada,2017,Unknown
Tiffany & Co.,2017,Unknown
Moncler,2017,504.7
Lojas Renner S.A.,2017,670.2
Vygon (UK) Ltd.,2017,Unknown
Zalando SE,2017,17694
Alpargatas - Havaianas,2017,Unknown
Brunello Cucinelli,2017,799.5
Aditya Birla Fashion & Retail Ltd,2017,4764
Hugo Boss AG,2017,5637
Inditex,2016,19.211
Starbucks Corporation,2016,Unknown
Puma,2016,5302
Best Buy Co. Inc.,2016,68367.71
Dick's Sporting Goods,2016,54452
Woolworths Holdings Limited,2016,Unknown
Prada,2016,Unknown
Fenix Outdoor,2016,741.21
Gildan Activewear Inc.,2016,72175.28
Vygon (UK) Ltd.,2016,92.5
Zalando SE,2016,16505
Alpargatas - Havaianas,2016,Unknown
H&M,2016,Unknown
Hugo Boss AG,2016,6145
Inditex,2015,18.446818
Starbucks Corporation,2015,Unknown
Puma,2015,5006.919
Steinhoff International,2015,Unknown
Dick's Sporting Goods,2015,37336
Prada,2015,Unknown
Fenix Outdoor,2015,903.818
Bel Group,2015,24391
Zalando SE,2015,Unknown
Alpargatas - Havaianas,2015,Unknown
Desso,2015,4229
Hugo Boss AG,2015,4874
Gap inc.,2014,Unknown
Starbucks Corporation,2014,Unknown
Puma,2014,4310
Zalando SE,2014,Unknown
Desso,2014,4487
H&M,2014,32000
Hugo Boss AG,2014,4261
Starbucks Corporation,2013,Unknown
Puma,2013,4719
McDonald's Corporation,2013,5760
Starbucks Corporation,2012,Unknown
Puma,2012,5071
McDonald's Corporation,2012,Unknown
Starbucks Corporation,2011,Unknown
Puma,2011,6458.148
Starbucks Corporation,2010,Unknown
Puma,2010,6458.148
Starbucks Corporation,2009,Unknown
Puma,2009,Unknown
Starbucks Corporation,2008,Unknown
Starbucks Corporation,2007,Unknown
Starbucks Corporation,2006,Unknown
Puma,2006,94.122
Starbucks Corporation,2005,Unknown
Puma,2005,105.344
Starbucks Corporation,2004,Unknown
Puma,2004,Unknown
Starbucks Corporation,2003,Unknown
Puma,2003,Unknown
Starbucks Corporation,2002,Unknown
Puma,2002,Unknown
Starbucks Corporation,2001,Unknown