Company,Year,Tonnes recycled
Vera Bradley Inc.,2023,Unknown
Mulberry Group Plc,2023,Unknown
Esprit Holdings Limited,2023,Unknown
Buckle Inc,2023,Unknown
Capri Holdings Ltd (formerly Michael Kors),2023,Unknown
H&M,2023,Unknown
Abercrombie & Fitch,2023,Unknown
DSW Inc.,2023,Unknown
JD Sports Fashion plc,2023,Unknown
Sports Direct,2023,Unknown
Li-Ning,2023,Unknown
Boohoo.com,2023,Unknown
Van de Velde,2023,Unknown
Onward Holdings,2023,Unknown
Bosideng International Holdings Limited,2023,Unknown
Anta Sports Products,2023,Unknown
Louis Vuitton Malletier SA (LVMH),2023,Unknown
Guess? Inc,2023,Unknown
Tapestry Inc,2023,Unknown
Burberry Group plc,2023,Unknown
Inditex,2023,Unknown
Asos,2023,Unknown
Adidas AG,2023,Unknown
Gap inc.,2022,Unknown
United Arrows,2022,Unknown
PVH,2022,Unknown
Tiffany & Co.,2022,Unknown
Superdry plc,2022,Unknown
Children's Place Inc,2022,Unknown
Chow Tai Fook,2022,Unknown
Under Armour,2022,Unknown
Hanesbrands,2022,Unknown
American Eagle Outfitters,2022,Unknown
Skechers USA Inc,2022,Unknown
"Dillard's, Inc.",2022,Unknown
lululemon athletica,2022,Unknown
Ted Baker,2022,Unknown
Columbia Sportswear,2022,Unknown
Nordstrom,2022,Unknown
Gerry Weber,2021,Unknown
"Fossil Group, Inc.",2021,Unknown
Ascena Retail Group Inc,2020,Unknown
Hudson's Bay Company,2020,Unknown
Cia Hering,2020,Unknown
Francesca's,2019,Unknown
"G-III Apparel Group, LTD.",2019,Unknown
Cato Corp,2019,Unknown
Semir,2019,Unknown
Caleres Inc,2019,Unknown
Metersbonwe,2019,Unknown
Oxford Industries Inc,2019,Unknown
Genesco Inc.,2019,Unknown
Lao Feng Xiang Jewelry,2019,Unknown
Boot Barn Holdings Inc.,2019,Unknown
Express Inc,2019,Unknown
Alpargatas - Havaianas,2019,Unknown
YOOX NET-A-PORTER Group SpA,2019,Unknown
TJX Companies,2022,280089
Wolverine World Wide,2022,184896.4
Burlington Stores Inc,2023,83052.72
L Brands,2023,72770
Macy's,2022,70662
Nike Inc.,2023,69350
Marks and Spencer Group plc,2023,69000
Gildan Activewear Inc.,2023,60000
JC Penney,2019,45817.507996024
Dick's Sporting Goods,2022,43325
Ross Stores,2022,35000
Next PLC,2023,32297
Zalando SE,2022,30485
Luxottica Group SpA,2019,26205
Vipshop Holdings,2022,22810.5
Grendene,2022,21518.5
Arvind Limited,2023,20509.93
Carter's Inc,2023,19335
VF,2022,15451
Fast Retailing,2023,14117.695
Kering,2023,11556.45
Foot Locker Inc.,2023,6706
Chico's FAS Inc,2023,6558
Hermes International,2023,6292
Richemont,2022,6065
Lojas Renner S.A.,2023,5648.3
Swatch Group,2023,5465
Hugo Boss AG,2022,4878
Deckers Outdoor Corporation,2023,4559
Urban Outfitters,2021,4395
Puma,2023,3598
Christian Dior,2023,3561
Asics Corporation,2023,2030
Aditya Birla Fashion & Retail Ltd,2022,1814
Moncler,2023,1614.1
Geox SpA,2023,1468.68
Prada,2023,1444
TOD'S,2023,1365.68
Salvatore Ferragamo SpA,2023,661.30
Brunello Cucinelli,2023,508.60
Ralph Lauren Corporation,2023,11.8
Canada Goose,2023,1.75
Steve Madden,2022,0.769